poi_region,poi_name,poi_tag,img_rname,poi_desc
보성,보성 골망태다원,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1dc78550-4a3d-46e8-b245-15a257111361,"보성 골망태다원은 보성 차밭 인근에 있으며 차밭뿐 아니라 펜션과 수국, 수선화 정원 등을 방문할 수 있는 재미있는 관광지이다. 동심원의 녹차 미로공원을 조성하였으며 버섯 모양 지붕을 한 펜션이 옹기종기 모여있고, 시원한 와인 동굴과 창밖으로 녹음이 우거진 풍경을 볼 수 있는 카페도 있다. 단순 녹차밭을 산책하는 방문이 아닌 좀 더 이색적인 체험이 가능한 공간으로 카페, 펜션 이용객은 사장님이 직접 판 와인동굴을 구경할 수 있다.
녹차밭을 직접 운영하고 있어 보성녹차의 참맛을 체험할 수 있고 비누, 녹차 과자, 녹차 화장품 등 녹차 관련 제품을 구매할 수 있으며, 바비큐실이 있어 녹차를 먹인 돼지고기 바비큐를 즐길 수 있다. 또한, 승마장이 있어 말 시승 체험도 가능하다.
녹차 미로공원과 버섯 지붕이 마치 동화 속 요정 마을을 방문한 것 같은 기분을 느끼게 한다."
보성,구 보성여관,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42099dbb-4b17-4479-b2d0-d2f6893269cd,"구 보성여관은 1935년 건립된 일본식 2층 건물로 일식 목조건축의 특징을 잘 간직하고 있는 보전 가치가 큰 건축물이다. 대하소설 태백산맥과 동명의 영화에서 반란군 토벌대장 임만수와 대원들이 머무는 [남도여관]의 실제 모델로 2004년 등록문화재로 등재되었다. 2008년 문화유산국민신탁은 보성여관을 매입하여 2011년 훼손된 보성여관의 복원 공사를 마쳤다. 특히, 구 보성여관은 드물게 남아있는 한옥과 일식이 혼합된 일본식 여관으로 근대건축사적 가치와 생활사적 가치도 높은 건물이다. 아울러 구 보성여관은 건축물뿐만 아니라 보성군 벌교의 근현대 역사문화 환경을 형성하는 중요한 거점으로 높은 가치를 지니고 있다.
태백산맥 소설의 배경이 되었던 그 시절에도 이 건물은 여관이었고, 그때의 실제 상호도 보성여관이었다. 검은 판자벽에 함석지붕, 전형적인 일본식으로 지어진 2층 건물은 옛 모습 그대로이다. 그동안 여관과 상가 등으로 사용되다가 2004년 근대건축사적, 생활사적 가치가 높이 평가돼 등록문화재로 등재되었다. 현재는 관람뿐만 아니라 근대문화재에서 하룻밤을 경험할 수 있는 숙박동도 함께 운영되고 있다."
보성,송광사 포교당(보성),"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86dff062-664e-4bb8-ae3a-0bf389203cd2,"보성군 벌교의 송광사 포교당은 순천 송광사의 벌교 말사이다. 동서남북으로 부용산, 제석산, 낙안, 진토제 등의 불교적 지명에 둘러싸인 천혜의 사찰 터라는 자랑거리를 가지고 있으며, 대웅전 마당에 수령 300년의 우람한 향나무가 정성스런 보살핌으로 건강하고 우람한 모습으로 포교당을 감싸고 있다.
지역 주민들의 생활에 가깝게 다가가 지역사회에 이바지하는 사찰이라는 인식을 갖게 하기 위해 노력하고 있으며, 전통사찰의 소임을 충실하게 지키고 있다. 군민들에게 언제나 열려 있는 공간으로 신도 교육을 위해 교양 강좌를 개설하여 경전 공부와 강의 및 스님과의 편안한 대화를 통해 삶의 지혜를 배우고 힐링하는 경험을 할 수 있다.
포교당 인근에 소설 태백산맥의 주요 배경 장소인 벌교홍교, 소화다리가 있다."
보성,오봉산(보성),"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=81c35527-7152-470d-91a4-ef2de03eecec,"벌교읍에서 2번 국도를 타고 예당을 거쳐 득량면으로 들어서면 도로 왼쪽으로 보성 간척지평야가 펼쳐져 있고, 그 끝에 우뚝 솟은 두 개의 산이 오봉산이다. 이곳 사람들은 왼쪽은 오봉산(343m), 오른쪽은 작은 오봉산(284m)라 부르고 있다. 다섯 개의 위성봉을 거느리고 있는 작은 오봉산은 가까이 가면 정상부 오른쪽에 바위가 삐죽 튀어나와 있는 것이 인상적이다.
오봉산 정상에 오르면 드넓은 보성 간척지 평야와 득량만 바다, 고흥반도를 조망할 수 있다.
책상바위라 불리는 바위로 주민들은 이 바위를 보고 성장한 덕분에 인재가 많이 나왔다 자랑하곤 한다. 특히 철도 길에서 바라보는 자라바위는 보는 방향에 따라 모양이 특이하다. 마애불상이 새겨진 칼바위와 온돌 문화의 산실인 옛 구들장 채취지, 편백숲속의 개흥사지, 풍혈지, 돌탑, 해평호수, 용수폭포, 용추폭포 등 많은 역사 지리적 문화자원이 풍부하다. 해평저수지 십 리 둘레길은 대나무숲을 즐기면 편안한 산책을 즐길 수 있다."
보성,용산서원(보성),"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e88139f9-4086-4fdc-b4e6-6c6122cfbbaf,"용산서원은 보성 출신의 죽천 박광전을 제향했던 곳으로, 1868년 철폐되었다가 1984년 복원 사업이 진행되었다.
죽천 박광전은 조선 중종 21년(1526) 조성면 용전리에서 태어났으며, 이퇴계의 문인으로 그로부터 많은 영향을 받았던 대 유학자로서 광해군의 사부를 지냈다. 1592년 임진왜란이 일어나자 격문을 띄우고 문인들과 더불어 의병을 모집해 전라좌의병을 일으켰다. 또한 전란 극복을 위해 백성들을 위무하고 유민을 모아 농사를 짓게 해 민생을 안정시키는 등 우국충정을 몸소 실천했다. 1597년 정유재란 시에도 칠순의 노령에도 불구하고 의병을 일으켜 적벽전 투에서 적을 격파하였다. 그러나 노병으로 인해 군영에서 72세를 일기로 세상을 떠났다.
이 서원의 창설은 1607년 죽천의 학덕과 충의를 평소 흠모하였던 이 지방 유림들에 의하여 추진되었다. 특히 건원 시에는 죽천의 문인으로 문명이 높았던 우산 안방준의 역할이 컸던 것으로 보이는데, 조선 선조 40년(1607) 그는 건원통문을 작성하여 열읍과 유림에게 전하는 한편 실제로 정길을 비롯한 도내 사림들의 협조를 얻어 서원을 건립하였다. 용산서원 바로 옆의 보성 의병기념관 2층에 죽천 박광전 기념관이 있어 함께 방문할 수 있다."
보성,보성 이진래고택,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c7c6052-3b7b-4612-8b80-bc39b3a0875c,"보성군 득량면 오봉리 강골마을에 있다. 중요민속문화재 제159호로 지정되었으며, 1800년대 말에 지은 집이다. 안채와 사랑채, 곳간채, 문간채 등이 규모 있게 구성되어 있다. 농사를 많이 짓고 사는 사대부집으로 강골마을에서 가장 규모가 큰 가옥이다. 문간채는 정면 5칸, 측면 단칸인데, 중앙의 한 칸은 문간으로 솟을대문이다. 대문의 왼쪽과 오른쪽에는 온돌방이 여러 개 배치되어 있는데, 이는 행랑채로서 머슴이나 일꾼들이 사용하도록 하고 있다. 동쪽으로 다양한 주련이 걸려있는 사당 겸 서재 건물이 있는데, 이곳은 이 가옥에서 집주인이 가장 심혈을 기울여 관리하는 건물이다. 장독대는 안채의 서쪽에 위치한 광채와 누마루 사이 모퉁이 공간에 있는데, 겨울에 눈이 내려 항아리 뚜껑 위에 소복이 쌓인 광경은 정겨움을 더한다. 집 뒤쪽으로는 울창한 나무숲이 있고, 앞으로는 연못이 아름답게 꾸며져 있다. 한옥 체험이 가능한 곳이다."
보성,보성 벌교 홍교,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=71052f26-f6a5-4ef5-b42b-97e7f54ecbc7,"벌교 홍교는 벌교읍에 있는 조선시대의 화강석 석교로 길이 약 27m, 높이 3m의 홍예를 3칸 연결하여 축조하였다. 이 홍교는 전라남도 순천시 승주읍에 있는 선암사 승선교와 함께 그 구조 형식이 가장 뚜렷하다. 홍교는 다리 밑이 무지개처럼 반원형으로 쌓은 다리를 말하는데, 홍예교, 아치교, 무지개다리라고도 한다. 벌교라는 지명은 예전에 이곳에 있었던 뗏목다리에서 유래하였다.
이 홍교는 원래 숙종 44년(1718)에 당시 낙안현의 주민들에 의해 뗏목다리를 놓았는데 영조 4년(1728)에 전남도 지방에 내린 대홍수로 이 다리가 유실되자 그 이듬해 선암사 주지 호암화상이 제자인 초안선사를 화주로, 습성대사를 공사 감독으로 천거 착공하였으며, 이 공사는 6년 후인 영조 10년(1734)에 완공을 보게 되었다.
1981∼1984년까지 4년에 걸친 보수공사를 통해 호예의 밑부분과 석교 외벽의 시멘트를 제거하고 화강암으로 교체하여 원형을 되찾았다. 원래 다리의 규모는 폭 4m, 길이 80m에 이르렀던 것으로 추정되는데 지금까지 남아 있는 홍교 가운데 규모가 가장 크며, 현재도 주민들이 사용하고 있다. 이 다리를 위해 주민들이 60년마다 회갑잔치를 해주고 있다고 한다."
보성,보성열화정,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dddd85e3-3b26-4e05-b9c1-6d12ca6ba924,"득량면 오봉리 강골마을은 득량만과 오봉산이 바라다보이는 곳에 자리 잡은 전통 한옥마을이다. 이곳에는 국가민속문화재로 지정된 3채의 고택이 있고, 마을 뒤 가장 높고 깊숙한 곳에는 보성열화정이 있다. 보성열화정은 중요민속문화재 제162호로 일각대문과 ㄱ자형의 누마루 집으로 이루어진 정자이다. 20세기 초 건물로 추정되며, 주거를 목적으로 하는 집 외에 남성 위주의 공간으로 특별히 지은 건물이다. 마당 앞에는 아담한 일각대문과 연못이 있고, 정원에는 목련, 석류, 대나무 등을 심어 주변의 숲과 어울리게 함으로써 전통적인 우리나라 조경 수법을 잘 간직하고 있다. 열화정은 아름다운 산수를 즐기는 휴식공간이며, 선비들이 자연을 즐기며 시를 짓고, 친구들과 교류하는 공간이면서 학문을 가르치던 강학의 공간이었다. 1845년 이진만이 후진 양성을 위해 세웠다고 한다. 이진만의 손자 이방회와 당대의 석학 이건창 등이 학문을 논하던 장소이며, 정자 맞은편 안산에 만휴정을 세워서 자연을 정취를 즐겼다고 하나 지금은 흔적만 남아 있다."
보성,보성향교,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a16d1ca1-46f5-4166-b4ef-bb706ad42c8e,"향교는 훌륭한 유학자의 제사를 지내고 지역민을 교육하기 위하여 설립한 고려·조선시대의 국립 지방 교육기관이다.
보성향교는 1397년(태조 6)에 당시 군수였던 김유양의 주도로 지어졌다고 전한다. 처음에는 관주산 아래 구계동에 창건하였다가 양청산 서쪽으로 옮겼고, 정유재란(1597)때 불타버린 것을 선조 35년(1602)에 현재의 위치에 다시 옮겨 지었다고 한다. 일제 강점기에는 항일운동인 항일유림의거가 열리기도 한 곳이다.
일제강점기때는 향교에서 제사를 올릴 때 술을 빚었는데 금주령으로 인해 술을 빚지 못하게 되자 이에 항거하였고, 결국 제사 때 올리는 술에 대해서는 허용을 받아내게 되고 이로 인해 전국의 향교에서 제사때 술이 허용되었다고 한다.
현재 남아 있는 건물은 공자와 우리나라 성현의 위패를 모신 대성전과 동·서무, 학문을 익히는 공간인 명륜당, 학생들이 공부하고 숙식을하던 동·서재 등이다. 건물배치는 학문의 공간을 앞에 두고 제사의 공간을 뒤에 두는 전학후묘(前學後廟)의 형식인데 향교의 일반적인 배치형태이다. 이 향교는 조선후기 이후에 세워진것으로 교육제도사와 향촌사 연구에 귀중한 자료이다."
보성,보성문화원,"['#체험', '#보성차밭', '#녹차', '#녹차밭', '#미로공원', '#다원', '#가족체험', '#아이와함께', '#숙박시설', '#휴식공간', '#휴식여행', '#관광지', '#역사', '#전라권', '#보성여관', '#등록문화재', '#영화촬영지', '#역사유적지', '#가족과함께', '#휴식공간', '#휴식여행', '#휴식하기좋은곳', '#역사', '#전라권', '#역사유적지', '#불교', '#불교문화', '#한국불교', '#종교', '#관광지', '#휴식하기좋은곳', '#휴식하기', '#휴식여행', '#자연', '#관광지', '#자연환경', '#자연좋은곳', '#자연풍경', '#자연여행', '#자연속으로', '#등산', '#등산객', '#경치좋은곳', '#경치여행', '#역사', '#역사관광지', '#역사문화재', '#역사문화', '#역사속', '#역사관광', '#역사여행', '#역사유적지', '#역사속으로', '#역사탐험', '#관광지', '#전남여행', '#이진래', '#고택', '#보성이진래고택', '#보성가볼만한곳', '#역사여행', '#이진래고택', '#역사', '#전라권', '#문화재', '#교과서속여행', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#역사여행', '#관광지', '#전남여행', '#보성역사여행', '#보성여행', '#보성열화정', '#보성가볼만한곳', '#이진만', '#열화정', '#역사', '#전라권', '#전라남도유형문화재', '#역사유적지', '#관광지', '#역사관광지', '#역사문화재', '#역사공부', '#역사속', '#역사탐방', '#문화시설', '#복합문화공간', '#아이와 함께', '#전통문화', '#문화예술', '#문화공간', '#체험프로그램', '#교육프로그램', '#남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c3103a2-1aad-4843-aae6-d8cc875bcbce,"보성은 서편제 보성소리 가락 따라 차향 가득한 보배로운 고장이다. 나라가 어려울 때 국난 극복을 위해 분연히 일어난 구국 충절의 고장이요 충의 열사를 배출한 유서 깊은 의향의 고장이다. 또한, 유네스코 세계무형유산에 등록된 판소리의 성지로서 서편제 보성소리의 혼과 맥이 이어지고 있는 예향의 고장이기도 하다.
다향의 고장으로서 보성문화원은 지역 문화의 개발연구조사 및 문화 진흥을 목적으로 1967년에 설립되어 현재까지 지역 문화의 중심으로 지역 문화를 선도하고 견인하는데 앞장서고 있다. 군민 삶의 질 향상을 위해 전통문화 발굴과 육성, 문화자원 확보, 문화 예술 기회 제공, 새로운 문화환경 조성 등을 통해 다양한 문화콘텐츠를 개발하고 각종 문화교실을 운영하고 있다.
보성문화원은 영어카페, 도서관, 교육실, 자료실, 문화사랑방, 회의실들을 구비하여 내 집같이 편안한 힐링공간 조성, 다양한 장르의 프로그램을 개설하여 행복한 문화를 공유할 수 있는 열린 공간으로 만들어 보성 주민들의 문화 예술에 대한 욕구를 총족 시키고 있다."
